기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,상권업종소분류명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수,자치구,행정동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS300008,수산물판매,622973685,31470,68,32,14,12,13,13,16,19,13,0,12,28,37,23,0,29,71,0,2,6,13,28,51,422295463,200678222,86799491,76251113,83011645,78880643,97352571,117916748,82761474,0,75149389,172460569,230209758,142600479,2553490,180111131,442862554,0,9808001,35356497,83715781,177225175,316868231,21710,9760,4763,3955,4189,4240,4563,5531,4229,0,3108,8044,12183,8034,101,9982,21488,0,636,2113,4368,9521,14832,4,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS300007,육류판매,4801606277,157656,67,33,16,12,12,12,16,19,14,0,12,24,34,29,1,37,63,0,3,12,18,24,43,3229116016,1572490261,754083678,551347168,581337533,591739288,750608349,900128933,672361328,0,575574717,1150303187,1626838648,1401555425,47334300,1667943670,2851249297,305881,132395245,528168606,823285520,1091480164,1943557551,105461,52195,22697,18763,19225,20039,24737,28938,23257,0,15898,35976,51059,53267,1456,58894,95398,29,6997,19301,30562,41150,56257,5,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS300004,핸드폰,7138344,396,100,0,0,8,92,0,0,0,0,0,0,84,8,8,0,0,100,0,0,0,9,0,91,7138344,0,0,543780,6594564,0,0,0,0,0,0,6001350,593214,543780,0,0,6594564,0,0,0,593214,0,6001350,396,0,0,99,297,0,0,0,0,0,0,198,99,99,0,0,297,0,0,0,99,0,198,7,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS300002,편의점,406816906,56616,70,30,15,14,14,13,14,15,15,10,12,10,12,32,24,65,35,1,25,28,21,18,7,285490519,121326387,60706380,55777155,55603958,54638326,58764700,61437284,59889103,39858037,48692978,42230262,50290402,128647162,97098065,263936211,142880695,3826465,101654431,112537049,85188503,74248820,29361638,39421,17195,8201,8139,7516,7899,7666,8513,8682,4925,8032,6501,7302,17318,12538,35839,20777,1099,15255,15577,11819,9640,3226,3,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200037,노래방,62037402,6720,51,49,5,9,17,6,15,34,15,14,0,2,7,51,26,80,20,5,22,19,24,24,6,31729165,30308237,3030887,5366959,10397606,3717195,9216518,20850598,9457639,8736868,210246,1110116,4195076,31635711,16149385,49695045,12342357,2841275,13460232,11990979,15138569,14925527,3680820,4194,2526,825,807,891,706,965,1367,1159,42,72,398,1339,3922,947,4656,2064,897,3611,1537,261,304,110,6,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200030,피부관리실,12152582,82,97,3,33,31,10,1,22,3,0,19,0,0,33,42,7,63,37,0,8,71,14,7,1,11739782,412800,3950626,3746543,1268769,160533,2613311,412800,0,2247467,0,0,3950626,5128889,825600,7645132,4507450,0,921813,8593436,1651200,825600,160533,77,5,6,24,19,4,24,5,0,27,0,0,7,39,9,55,27,0,13,36,19,10,5,4,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200028,미용실,247445675,6664,58,42,8,8,19,10,13,23,19,0,1,22,38,39,0,47,53,1,24,26,28,14,8,143785940,103659735,20620367,20540567,45805131,25130540,31689335,56265453,47394282,0,2025376,54884267,93579550,96395801,560681,115581716,131562043,2951370,59686177,63486790,69048102,33289593,18681728,4323,2341,779,638,1047,902,957,1361,980,0,157,1613,2192,2691,11,4236,2423,155,1603,1911,1373,987,629,11,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200019,PC방,142390935,25338,63,37,14,12,14,12,11,18,20,0,7,18,30,40,5,78,22,4,56,31,5,4,0,89188853,53202082,20273783,17408624,19702901,16742179,15061366,25010111,28191971,412013,9350595,25814599,42510448,57104987,7198293,111185925,31205010,5565750,79520487,44030744,7470883,5188499,614572,16171,9167,3483,3136,3666,3114,2772,4421,4746,58,1460,4190,7533,10567,1530,19202,6136,1615,14712,7175,953,775,108,4,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200008,한의원,485187508,16372,77,23,17,17,11,15,16,23,0,0,22,31,31,14,1,40,60,0,2,10,14,26,48,372014688,113172820,84600286,82803993,54159846,71187584,79262979,113172820,0,0,106738604,151768397,151480325,68726202,6473980,194728504,290459004,1159738,11748571,48779016,69185895,123794568,230519720,13990,2382,3243,2551,2598,2244,3354,2382,0,0,3454,5242,4674,2985,17,6814,9558,38,768,1870,1972,3570,8154,7,동작구,상도3동
2022,1,R,전통시장,2130261,성대전통시장(성대시장),CS200007,치과의원,645808829,4568,87,13,18,22,16,20,10,13,0,0,6,35,40,19,0,53,48,0,8,24,16,11,41,560632647,85176182,116103315,144749631,103746543,128997434,67035724,85176182,0,0,40352661,228004508,255840572,121611088,0,338765119,307043710,42849,51169951,156375340,101270116,69315274,267635299,3783,785,769,880,570,857,707,785,0,0,717,1667,1513,671,0,2309,2259,10,609,789,758,910,1492,5,동작구,상도3동
